feature_kind,target,n_features,n_predicted,r2,pearson_r,pearson_p,spearman_rho,spearman_p,pca_components
time_only,beta_fast60,4,70,-0.008267,-0.01072,0.9298148398216292,-0.085994,0.47904622501551525,0
acoustic,beta_fast60,30,70,-0.000169,0.091078,0.45334276868173196,-0.033645,0.7821587406256645,0
muq_mulan,beta_fast60,513,70,-0.072188,-0.054773,0.6524574991719247,-0.055901,0.6457770727578227,8
time_only,beta_mean,4,75,0.575984,0.772936,4.5033705796258515e-16,0.721166,2.9389523506173506e-13,0
acoustic,beta_mean,30,75,-8.074575,0.570047,9.380755823904057e-08,0.762191,1.9766621071354813e-15,0
muq_mulan,beta_mean,513,75,-2.699452,0.64439,4.4315090098627634e-10,0.645349,4.0963895739798764e-10,8
time_only,beta_slow60,4,70,0.745709,0.89213,3.6902041000899857e-25,0.869268,1.7250120218980053e-22,0
acoustic,beta_slow60,30,70,-2.852781,0.741324,2.1514948891512466e-13,0.783886,1.027375287898349e-15,0
muq_mulan,beta_slow60,513,70,-2.279116,0.839648,1.0739356381963686e-19,0.860135,1.4655928013133525e-21,8
time_only,engagement_fast60,4,70,-7.33008,-0.005333,0.9650530979148175,-0.014854,0.9028599743391422,0
acoustic,engagement_fast60,30,70,-1.275976,-0.058089,0.6328940505953283,-0.05653,0.6420575848457895,0
muq_mulan,engagement_fast60,513,70,-0.08942,0.078036,0.5207944457644341,0.119587,0.32410058120246765,8
time_only,engagement_slow60,4,70,-16.239585,-0.325858,0.005908798771913425,-0.340215,0.003955513353134733,0
acoustic,engagement_slow60,30,70,-4.945555,-0.535741,1.7600433835404424e-06,-0.310157,0.008974811283009467,0
muq_mulan,engagement_slow60,513,70,-0.853512,-0.130397,0.28195444610811665,-0.165532,0.17085101461102356,8
