endpoint,family,n,mean,median,sd,iqr,min,max,n_positive,sign_flip_observed_mean,sign_flip_two_sided_p,n_sign_combinations,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high
fast30,timescale,22,0.05067239245598727,0.06138940107303719,0.15107377025755964,0.18465545718404855,-0.3446730813171178,0.286997229233927,15,0.05067239245598727,0.13047668207247684,4194304,-0.011864472140161621,0.11071963224147706,-0.005670554976497717,0.1367740873358851
fast60,timescale,22,0.09923643925726135,0.11059026020046572,0.13461294662592363,0.17977729933969938,-0.13574972157537712,0.36409842267629167,17,0.09923643925726135,0.002421140093531586,4194304,0.04445179704355031,0.1563508088812929,0.01528804292801457,0.16705413179985076
raw,timescale,22,0.09371705675831468,0.07913079048798784,0.3183361610836395,0.3167354270207017,-0.4872310311058067,0.7672200791403292,15,0.09371705675831468,0.18211908766768273,4194304,-0.03888490485597066,0.22136655324910037,-0.03560088075530561,0.2247392667438771
slow30,timescale,22,0.10180982901265077,0.09449952872469505,0.45368239162568513,0.6933095467804979,-0.6545945846024837,1.100710753585303,12,0.10180982901265077,0.304022954935323,4194304,-0.0841491351279388,0.28201758950797257,-0.1958100426647132,0.38730707494752437
slow60,timescale,22,0.1099376423238786,0.12653915642071895,0.5604449933090627,0.8552591922596149,-0.7165643635145416,1.3660755886917744,12,0.1099376423238786,0.36794772912318013,4194304,-0.11580331060797601,0.3342673445700227,-0.26780725255545706,0.4579289215459793
raw_beta_reference,audio_control,22,0.09371705675831464,0.0791307904879878,0.3183361610836395,0.3167354270207016,-0.4872310311058067,0.7672200791403292,15,0.09371705675831464,0.18211956450472724,4194304,-0.03888490485597065,0.22136655324910037,-0.0356008807553056,0.2247392667438771
roi_fast30,frontal_roi,22,0.044133932771050675,0.07826826564853151,0.11804844852550446,0.20673540785663735,-0.18129434665369118,0.21537104142218413,13,0.044133932771050675,0.09414074560624466,4194304,-0.0038035330584974465,0.09098182361688278,-0.041292622282318676,0.12606497998810032
roi_fast60,frontal_roi,22,0.11360935604115902,0.1051012165894118,0.13589148594110803,0.13680656935011748,-0.08358813404880025,0.41389085754783844,17,0.11360935604115902,0.0004522799367237242,4194304,0.06000468640674454,0.17133874472562213,0.04255606569212911,0.154967795133291
roi_raw,frontal_roi,22,0.10238649664162583,0.07622426375496594,0.3458541875508919,0.4158650159270315,-0.5416776048424634,0.8653065832840757,13,0.10238649664162583,0.1795136500564456,4194304,-0.03931117289976014,0.23967834803806407,-0.06988309113638777,0.2689114983300195
roi_slow30,frontal_roi,22,0.09947162243739573,0.18299810679411585,0.4574531714638945,0.7919863225878985,-0.5185834782884,1.0316977188486536,12,0.09947162243739573,0.3176290231635515,4194304,-0.0874661839231138,0.2827649268385478,-0.24620081186314346,0.3766275775441287
roi_slow60,frontal_roi,22,0.10353951072333768,0.17443688013491881,0.5632473898592892,0.9180015047507237,-0.6111803137220561,1.2729696124563457,12,0.10353951072333768,0.39640250291764667,4194304,-0.1262850204311877,0.33107401783481044,-0.33264419729097655,0.45244507441530835
group_engagement,group_engagement,22,0.11171167158709153,0.129493281075028,0.1416321300543551,0.16451917693169096,-0.14175531914893616,0.35572508398656216,17,0.11171167158709153,0.0016324516219016023,4194304,0.05364231268451593,0.1698175837320574,0.04561870100783877,0.18139697648376263
